type_id,fias_level,name,name_full
101,1,АО,Автономный округ
102,1,Аобл,Автономная область
103,1,г,Город
104,1,край,Край
105,1,обл,Область
106,1,Респ,Республика
107,1,округ,Округ
108,1,Чувашия,Чувашия
109,1,а.обл.,Автономная область
110,1,а.окр.,Автономный округ
111,1,г.,Город
112,1,г.ф.з.,Город федерального значения
113,1,обл.,Область
114,1,респ.,Республика
201,2,АО,Автономный округ
301,3,р-н,Район
302,3,у,Улус
303,3,тер,Территория
305,3,АО,Автономный округ
306,3,п,Поселение
307,3,вн.тер. г.,Внутригородская территория
310,3,пос.,Поселение
311,3,у.,Улус
312,3,г,Город
401,4,г,Город
402,4,пгт,Поселок городского типа
403,4,рп,Рабочий поселок
404,4,кп,Курортный поселок
405,4,дп,Дачный поселок
406,4,с/с,Сельсовет
407,4,с/а,Сельская администрация
409,4,с/о,Сельский округ
410,4,волость,Волость
411,4,п/о,Почтовое отделение
412,4,тер,Территория
414,4,с/п,Сельское поселение
415,4,с/мо,Сельское муницип.образование
416,4,массив,Массив
417,4,п,Поселок
418,4,г.,Город
419,4,пгт.,Поселок городского типа
420,4,с,Село
502,5,тер,Территория
503,5,р-н,Район
601,6,аал,Аал
602,6,аул,Аул
603,6,волость,Волость
604,6,высел,Выселки(ок)
605,6,г,Город
606,6,д,Деревня
607,6,дп,Дачный поселок
608,6,ж/д_будка,Железнодорожная будка
609,6,ж/д_казарм,Железнодорожная казарма
610,6,ж/д_оп,ж/д останов. (обгонный) пункт
611,6,ж/д_пост,Железнодорожный пост
612,6,ж/д_рзд,Железнодорожный разъезд
613,6,ж/д_ст,Железнодорожная станция
614,6,заимка,Заимка
615,6,казарма,Казарма
616,6,кп,Курортный поселок
617,6,м,Местечко
618,6,мкр,Микрорайон
619,6,нп,Населенный пункт
620,6,остров,Остров
621,6,п,Поселок
622,6,пл.р-н,Планировочный район
623,6,п/ст,Поселок и(при) станция(и)
624,6,пгт,Поселок городского типа
625,6,починок,Починок
626,6,п/о,Почтовое отделение
627,6,промзона,Промышленная зона
628,6,рзд,Разъезд
629,6,рп,Рабочий поселок
630,6,с,Село
631,6,сл,Слобода
632,6,ст,Станция
633,6,ст-ца,Станица
634,6,у,Улус
635,6,х,Хутор
636,6,г-к,Городок
637,6,тер,Территория
638,6,ж/д_платф,Железнодорожная платформа
639,6,кв-л,Квартал
640,6,арбан,Арбан
641,6,снт,Садовое неком-е товарищество
642,6,лпх,Леспромхоз
643,6,погост,Погост
644,6,кордон,Кордон
645,6,автодорога,Автодорога
646,6,жилрайон,Жилой район
647,6,жилзона,Жилая зона
648,6,массив,Массив
649,6,гп,Городской поселок
650,6,ж/д б-ка,Железнодорожная будка
651,6,пгт.,Поселок городского типа
652,6,ж/д пл-ка,Железнодорожная площадка
653,6,ж/д пл-ма,Железнодорожная платформа
654,6,киш.,Кишлак
655,6,п. ж/д ст.,Поселок при железнодорожной станции
656,6,ж/д бл-ст,Железнодорожный блокпост
657,6,ж/д в-ка,Железнодорожная ветка
658,6,ж/д к-ма,Железнодорожная казарма
659,6,ж/д к-т,Железнодорожный комбинат
660,6,ж/д п.п.,Железнодорожный путевой пост
661,6,ж/д о.п.,Железнодорожный остановочный пункт
662,6,зим.,Зимовье
663,6,нп.,Населенный пункт
664,6,дп.,Дачный поселок
665,6,сп.,Сельский поселок
666,6,пос.рзд,Поселок разъезда
667,6,сп,Сельский поселок
668,6,п. ст.,Поселок при станции (поселок станции)
701,7,аллея,Аллея
702,7,б-р,Бульвар
703,7,въезд,Въезд
704,7,дор,Дорога
705,7,жт,Животноводческая точка
706,7,заезд,Заезд
707,7,кв-л,Квартал
708,7,км,Километр
709,7,кольцо,Кольцо
710,7,линия,Линия
711,7,наб,Набережная
712,7,остров,Остров
713,7,парк,Парк
714,7,пер,Переулок
715,7,переезд,Переезд
716,7,пл,Площадь
717,7,пл-ка,Площадка
718,7,проезд,Проезд
719,7,пр-кт,Проспект
720,7,просек,Просек
721,7,проселок,Проселок
722,7,проулок,Проулок
723,7,сад,Сад
724,7,сквер,Сквер
725,7,стр,Строение
726,7,тер,Территория
727,7,тракт,Тракт
728,7,туп,Тупик
729,7,ул,Улица
730,7,уч-к,Участок
731,7,ш,Шоссе
732,7,пр-д,Проезд
733,7,пр-к,Просек
734,7,пр-ка,Просека
735,7,г-к,Городок
736,7,д,Деревня
737,7,ж/д_будка,Железнодорожная будка
738,7,ж/д_казарм,Железнодорожная казарма
739,7,ж/д_оп,ж/д останов. (обгонный) пункт
740,7,ж/д_пост,Железнодорожный пост
741,7,ж/д_рзд,Железнодорожный разъезд
742,7,ж/д_ст,Железнодорожная станция
743,7,казарма,Казарма
744,7,м,Местечко
745,7,мкр,Микрорайон
746,7,нп,Населенный пункт
747,7,платф,Платформа
748,7,п,Поселок
749,7,п/о,Почтовое отделение
750,7,пл.р-н,Планировочный район
751,7,п/ст,Поселок и(при) станция(и)
752,7,полустанок,Полустанок
753,7,пр-лок,Проселок
754,7,рзд,Разъезд
755,7,с,Село
756,7,сл,Слобода
757,7,ст,Станция
758,7,х,Хутор
759,7,ж/д_платф,Железнодорожная платформа
760,7,проул.,Проулок
761,7,спуск,Спуск
762,7,ул.,Улица
763,7,гск,Гаражно-строительный кооп.
764,7,снт,Садовое неком-е товарищество
765,7,ал.,Аллея
766,7,тер. ДНТ,Территория ДНТ
767,7,коса,Коса
768,7,вал,Вал
769,7,ферма,Ферма
770,7,мост,Мост
771,7,ряды,Ряды
772,7,а/я,Абонентский ящик
773,7,берег,Берег
774,7,просека,Просека
775,7,рзд.,Разъезд
776,7,бугор,Бугор
777,7,зона,Зона
778,7,ряд,Ряд(ы)
779,7,тер. СНТ,Территория СНТ
780,7,местность,Местность
781,7,балка,Балка
782,7,с/т,Садовое товарищество
783,7,пер-д,Переезд
784,7,сзд.,Съезд
785,7,маяк,Маяк
786,7,с-к,Спуск
787,7,днп,Дачное неком-е партнерство
788,7,н/п,Некоммерческое партнерство
789,7,ф/х,Фермерское хозяйство
790,7,промзона,Промзона
791,7,взв.,Взвоз
792,7,с-р,Сквер
793,7,ш.,Шоссе
794,7,ззд.,Заезд
795,7,к-цо,Кольцо
796,7,лн.,Линия
797,7,мгстр.,Магистраль
798,7,наб.,Набережная
799,7,пер.,Переулок
913,9,м/м,Машино-место
3001,3,г.о.,Городской округ
3003,3,м.р-н,Муниципальный район
3005,3,м.о.,Муниципальный округ
4001,35,с.п.,сельское поселение
4002,35,г.п.,городское поселение
4003,35,вн.р-н,внутригородской район
4004,35,межсел.тер,межселенная территория
6501,65,б-г,Берег
6502,65,вал,Вал
6503,65,ж/р,Жилой район
6504,65,зона,Зона (массив)
6505,65,кв-л,Квартал
6506,65,мкр.,Микрорайон
6507,65,ост-в,Остров
6508,65,п/р,Промышленный район
6509,65,парк,Парк
6510,65,платф.,Платформа
6511,65,р-н,Район
6512,65,сад,Сад
6513,65,сквер,Сквер
6514,65,тер.,Территория
6515,65,тер. ГСК,Территория ГСК
6516,65,тер. ДНО,Территория ДНО
6517,65,тер. ДНП,Территория ДНП
6518,65,тер. ДНТ,Территория ДНТ
6519,65,тер. ДПК,Территория ДПК
6520,65,тер. ОНО,Территория ОНО
6521,65,тер. ОНП,Территория ОНП
6522,65,тер. ОНТ,Территория ОНТ
6523,65,тер. ОПК,Территория ОПК
6524,65,тер. СНО,Территория СНО
6525,65,тер. СНП,Территория СНП
6526,65,тер. СНТ,Территория СНТ
6527,65,тер. СПК,Территория СПК
6528,65,тер. ТСН,Территория ТСН
6529,65,тер.ф.х.,Территория ФХ
6530,65,ус.,Усадьба
6531,65,ю.,Юрты
6532,65,а/я,Абонентский ящик
6534,65,аал,Аал
6535,65,ал.,Аллея
6536,65,арбан,Арбан
6537,65,аул,Аул
6538,65,б-р,Бульвар
6539,65,взд.,Въезд
6540,65,г-к,Городок
6541,65,д.,Деревня
6542,65,дор.,Дорога
6543,65,ж/д б-ка,Железнодорожная будка
6544,65,ж/д к-ма,Железнодорожная казарма
6545,65,ж/д пл-ма,Железнодорожная платформа
6546,65,ж/д рзд.,Железнодорожный разъезд
6547,65,ж/д ст.,Железнодорожная станция
6548,65,ззд.,Заезд
6549,65,км,Километр
6550,65,коса,Коса
6551,65,к-цо,Кольцо
6552,65,лн.,Линия
6553,65,м-ко,Местечко
6554,65,наб.,Набережная
6555,65,п.,Поселок
6556,65,пер.,Переулок
6557,65,пер-д,Переезд
6558,65,п-к,Починок
6559,65,пл.,Площадь
6560,65,пл-ка,Площадка
6561,65,пр-д,Проезд
6562,65,пр-к,Просек
6563,65,пр-ка,Просека
6564,65,пр-кт,Проспект
6565,65,пр-лок,Проселок
6566,65,проул.,Проулок
6567,65,рзд.,Разъезд
6568,65,с.,Село
6569,65,с-к,Спуск
6570,65,сл.,Слобода
6571,65,с-р,Сквер
6572,65,ст.,Станция
6573,65,стр.,Строение
6574,65,тракт,Тракт
6575,65,туп.,Тупик
6576,65,ул.,Улица
6577,65,х.,Хутор
6578,65,ш.,Шоссе
6579,65,гск,Гаражно-строительный кооп.
6580,65,днп,Дачное неком-е партнерство
6581,65,местность,Местность
6582,65,мкр,Микрорайон
6583,65,н/п,Некоммерческое партнерство
6584,65,промзона,Промышленная зона
6585,65,снт,Садовое товарищество
6586,65,тер,Территория
6587,65,ф/х,Фермерское хозяйство
6588,65,месторожд.,Месторождение
6589,65,порт,Порт
6590,65,тер.СОСН,Территория СОСН
6591,65,тер. ТСЖ,Территория ТСЖ
6592,65,тер. ПК,Территория ПК
6594,65,мр.,Месторождение
7501,75,з/у,Земельный участок
9002,90,снт,Садовое товарищество
9003,90,промзона,Промышленная зона
9004,90,гск,Гаражно-строительный кооп.
9005,90,тер,Территория
9006,90,мкр,Микрорайон
9007,90,сад,Сад
9008,90,ф/х,Фермерское хозяйство
9009,90,н/п,Некоммерческое партнерство
9010,90,днп,Дачное неком-е партнерство
9011,90,местность,Местность
9101,91,аллея,Аллея
9102,91,б-р,Бульвар
9103,91,въезд,Въезд
9104,91,дор,Дорога
9105,91,жт,Животноводческая точка
9106,91,заезд,Заезд
9107,91,кв-л,Квартал
9108,91,км,Километр
9109,91,кольцо,Кольцо
9110,91,линия,Линия
9111,91,наб,Набережная
9112,91,остров,Остров
9113,91,парк,Парк
9114,91,пер,Переулок
9115,91,переезд,Переезд
9116,91,пл,Площадь
9117,91,пл-ка,Площадка
9118,91,проезд,Проезд
9119,91,пр-кт,Проспект
9120,91,просек,Просек
9121,91,проселок,Проселок
9122,91,проулок,Проулок
9123,91,сад,Сад
9124,91,сквер,Сквер
9125,91,стр,Строение
9126,91,тер,Территория
9127,91,тракт,Тракт
9128,91,туп,Тупик
9129,91,ул,Улица
9130,91,уч-к,Участок
9131,91,ш,Шоссе
9132,91,аал,Аал
9133,91,аул,Аул
9134,91,высел,Выселки(ок)
9135,91,г-к,Городок
9136,91,д,Деревня
9137,91,ж/д_будка,Железнодорожная будка
9138,91,ж/д_казарм,Железнодорожная казарма
9139,91,ж/д_оп,ж/д останов. (обгонный) пункт
9140,91,ж/д_пост,Железнодорожный пост
9141,91,ж/д_рзд,Железнодорожный разъезд
9142,91,ж/д_ст,Железнодорожная станция
9143,91,казарма,Казарма
9144,91,м,Местечко
9145,91,мкр,Микрорайон
9146,91,нп,Населенный пункт
9147,91,платф,Платформа
9148,91,п,Поселок
9149,91,п/о,Почтовое отделение
9150,91,пл.р-н,Планировочный район
9151,91,п/ст,Поселок и(при) станция(и)
9153,91,починок,Починок
9154,91,рзд,Разъезд
9155,91,с,Село
9156,91,сл,Слобода
9157,91,ст,Станция
9158,91,х,Хутор
9159,91,ж/д_платф,Железнодорожная платформа
9160,91,арбан,Арбан
9161,91,спуск,Спуск
9163,91,гск,Гаражно-строит-ный кооператив
9164,91,снт,Садовое неком-е товарищество
9167,91,коса,Коса
9168,91,вал,Вал
9169,91,ферма,Ферма
9170,91,мост,Мост
9171,91,ряды,Ряды
9172,91,а/я,Абонентский ящик
9173,91,берег,Берег
9174,91,просека,Просека
9177,91,зона,Зона
